Country,CountryCode,1965-1980,1985-1990,1995,2000,2005,2010,2014
Belgium,BEL,N,N,N,N,N,N,N
Denmark,DNK,N,N,N,N,N,N,N
France,FRA,N,N,N,N,N,N,N
Iceland,ISL,N,N,N,N,N,N,N
Italy,ITA,N,N,N,N,N,N,N
Luxembourg,LUX,N,N,N,N,N,N,N
Netherlands,NLD,N,N,N,N,N,N,N
Norway,NOR,N,N,N,N,N,N,N
Portugal,PRT,N,N,N,N,N,N,N
United Kingdom,GBR,N,N,N,N,N,N,N
USSR/Russia,RUS,U,U,U,U,U,U,U
Greece,GRC,N,N,N,N,N,N,N
Turkey,TUR,N,N,N,N,N,N,N
West Germany/Germany,DEU,N,N,N,N,N,N,N
Spain,ESP,,N,N,N,N,N,N
Czech Republic,CZE,W,W,,N,N,N,N
Hungary,HUN,W,W,,N,N,N,N
Poland,POL,W,W,,N,N,N,N
Bulgaria,BGR,W,W,,,N,N,N
Estonia,EST,U,U,,,N,N,N
Latvia,LVA,U,U,,,N,N,N
Lituania,LTU,U,U,,,N,N,N
Romania,ROU,W,W,,,N,N,N
Slovakia,SVK,W,W,,,N,N,N
Slovenia,SVN,,,,,N,N,N
Albania,ALB,W,W,,,,N,N
Croatia,HRV,,,,,,N,N
Armenia,ARM,U,U,,,,,
Azerbaijan,AZE,U,U,,,,,
Belarus,BLR,U,U,,,,,
Georgia,GEO,U,U,,,,,C
Kazakhstan,KAZ,U,U,,,,,
Kyrgyzstan,KGZ,U,U,,,,,
Moldova,MDA,U,U,,,,,
Tajikistan,TJK,U,U,,,,,
Turkmenistan,TKM,U,U,,,,,
Ukraine ,UKR,U,U,,,,,C
Uzbekistan,UZB,U,U,,,,,
Sweden,SWE,,,,,,,C
Finland,FIN,,,,,,,C
